batch,num,brand,name,url,idGuess,existingId,status
M01,15,"Dior","Fahrenheit","/perfume/Dior/Fahrenheit-228.html","dior-fahrenheit","dior-fahrenheit",OK_EXISTING
M01,16,"Dolce Gabbana","The One for Men Eau de Parfum","/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html","dolce-gabbana-the-one-for-men-eau-de-parfum","dolce-gabbana-the-one-edp",OK_EXISTING
M01,17,"Chanel","Bleu de Chanel Parfum","/perfume/Chanel/Bleu-de-Chanel-Parfum-49912.html","chanel-bleu-de-chanel-parfum","bleu-de-chanel-parfum",OK_EXISTING
M01,18,"Tom Ford","Ombre Leather","/perfume/Tom-Ford/Ombre-Leather-2018-50239.html","tom-ford-ombre-leather","tom-ford-noir-extreme",OK_EXISTING
M01,19,"Tom Ford","Oud Wood","/perfume/Tom-Ford/Oud-Wood-1826.html","tom-ford-oud-wood","tom-ford-noir-extreme",OK_EXISTING
M01,20,"Guerlain","L Homme Ideal Eau de Parfum","/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html","guerlain-l-homme-ideal-eau-de-parfum","",NEW_WRITE
W01,1,"Dior","Hypnotic Poison","/perfume/Dior/Hypnotic-Poison-219.html","dior-hypnotic-poison","",NEW_WRITE
W01,2,"Guerlain","Shalimar Eau de Parfum","/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html","guerlain-shalimar-eau-de-parfum","",NEW_WRITE
W01,3,"Chanel","Coco Mademoiselle","/perfume/Chanel/Coco-Mademoiselle-611.html","chanel-coco-mademoiselle","chanel-coco-mademoiselle-edp",OK_EXISTING
W01,4,"Guerlain","Mon Guerlain","/perfume/Guerlain/Mon-Guerlain-43297.html","guerlain-mon-guerlain","",NEW_WRITE
W01,5,"Mugler","Alien","/perfume/Mugler/Alien-707.html","mugler-alien","mugler-alien-edp",OK_EXISTING
W01,6,"Parfums de Marly","Delina","/perfume/Parfums-de-Marly/Delina-43871.html","parfums-de-marly-delina","parfums-de-marly-delina",OK_EXISTING
W01,7,"Dior","Dior Addict","/perfume/Dior/Dior-Addict-215.html","dior-dior-addict","",NEW_WRITE
W01,8,"Yves Saint Laurent","Libre Le Parfum","/perfume/Yves-Saint-Laurent/Libre-Le-Parfum-75676.html","yves-saint-laurent-libre-le-parfum","",NEW_WRITE
W01,9,"Givenchy","L Interdit Eau de Parfum Rouge","/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Rouge-68404.html","givenchy-l-interdit-eau-de-parfum-rouge","givenchy-gentleman-reserve-privee",OK_EXISTING
W01,10,"Frederic Malle","Portrait of a Lady","/perfume/Frederic-Malle/Portrait-of-a-Lady-10464.html","frederic-malle-portrait-of-a-lady","",NEW_WRITE
W01,11,"Mugler","Angel","/perfume/Mugler/Angel-704.html","mugler-angel","mugler-alien-edp",OK_EXISTING
W01,12,"Burberry","Goddess","/perfume/Burberry/Goddess-83483.html","burberry-goddess","burberry-her-edp",OK_EXISTING
W01,13,"Chanel","Chanel No 5 Parfum","/perfume/Chanel/Chanel-No-5-Parfum-28711.html","chanel-chanel-no-5-parfum","chanel-coco-mademoiselle-edp",OK_EXISTING
W01,14,"By Kilian","Love Don t Be Shy","/perfume/By-Kilian/Love-Don-t-Be-Shy-4322.html","by-kilian-love-don-t-be-shy","",NEW_WRITE
W01,15,"Narciso Rodriguez","Narciso Rodriguez For Her","/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-209.html","narciso-rodriguez-narciso-rodriguez-for-her","narciso-rodriguez-for-her-edp",OK_EXISTING
W01,16,"Dior","J adore","/perfume/Dior/J-adore-210.html","dior-j-adore","",NEW_WRITE
W01,17,"Guerlain","Shalimar Parfum","/perfume/Guerlain/Shalimar-Parfum-33557.html","guerlain-shalimar-parfum","",NEW_WRITE
W01,18,"Dior","Poison","/perfume/Dior/Poison-218.html","dior-poison","",NEW_WRITE
W01,19,"Versace","Crystal Noir Eau de Toilette","/perfume/Versace/Crystal-Noir-Eau-de-Toilette-67502.html","versace-crystal-noir-eau-de-toilette","versace-eros-edp",OK_EXISTING
W01,20,"Dolce Gabbana","Light Blue","/perfume/Dolce-Gabbana/Light-Blue-485.html","dolce-gabbana-light-blue","dolce-gabbana-the-one-edp",OK_EXISTING
M02,21,"Chanel","Allure Homme Sport Eau Extreme","/perfume/Chanel/Allure-Homme-Sport-Eau-Extreme-14669.html","chanel-allure-homme-sport-eau-extreme","",NEW_WRITE
M02,22,"Viktor Rolf","Spicebomb Extreme","/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html","viktor-rolf-spicebomb-extreme","viktor-rolf-spicebomb-extreme",OK_EXISTING
